username,name,location,company,total_contributions,latitude,longitude
kderuyck,Kim De Ruyck,"Ghent, Belgium",VIB / ELIXIR Belgium,8,51.0538286,3.7250121
likeajumprope,Johanna Bayer,Canada,McGill University,8,61.0666922,-107.991707
ikayz,Isaac Miti,"Lusaka, Zambia",The Fuse,8,-15.4163395,28.2818414
edwardchalstrey1,Ed Chalstrey,London (UK),,8,51.5074456,-0.1277653
dblana,Dimitra Blana,"Aberdeen, UK",University of Aberdeen,8,57.1482429,-2.0928095
PranavMahajan25,Pranav Mahajan,Oxford,,7,51.7520131,-1.2578499
Hanaffi,Hanaffi,Terminal,,7,-23.6460729,-46.6421467
wjchulme,Will Hulme,Unknown,,7,,
tongyu0924,Chia-Hsuan Hsu,Unknown,,7,,
booktrackerGirl,Aditi Dutta,United Kingdom,University of Birmingham,7,54.7023545,-3.2765753
KristijanArmeni,Kristijan Armeni,"Washington, DC, United States",,7,38.8950982,-77.0363849
longr,Robin Long,UK,UK Centre for Ecology and Hydrology,7,54.7023545,-3.2765753
Rainiefantasy,Mahwish Mohammad,Unknown,,7,,
richplant,Richard Plant,"Edinburgh, UK",,6,55.9533456,-3.1883749
bbartholdy,Bjørn Peare Bartholdy,Unknown,TU Delft,6,,
richarddushime,Richard Dushime,Unknown,,6,,
anilbey,anilbey,Switzerland,,6,46.7985624,8.2319736
veerasai06,,Unknown,,6,,
github-actions[bot],,Unknown,,6,,
TylerGHawthorne,,Unknown,,6,,
spier,Sebastian Spier,Germany,,6,51.1638175,10.4478313
actions-user,,Unknown,@actions,6,,
Elisa-on-GitHub,,Unknown,,6,,
owainkenwayucl,Dr Owain Kenway,"3rd Floor East, Bidborough House",University College London,6,,
Cghlewis,,"Saint Louis, MO",Crystal Lewis Consulting LLC,6,38.6254063,-90.190009
andreea-avramescu,Andreea Avramescu,"Manchester, UK",The University of Manchester,6,53.4794892,-2.2451148
ml-evs,Matthew Evans,"Cambridge / King's Lynn, UK",@the-grey-group / @datalab-org / @datalab-industries,5,52.7920341,0.4398455
LizHareDogs,,"Queens, NY, USA",Dog Genetics LLC,5,40.7135078,-73.8283132
bouweandela,Bouwe Andela,Unknown,@NLeSC ,5,,
alwil,Aleksandra Ewa Wilczynska,Unknown,,5,,
xchen101,Xiaoli Chen,Edinburgh,,5,55.9533456,-3.1883749
tobyhodges,Toby Hodges,"Leimen, Germany",The Carpentries: @carpentries,5,49.3491417,8.6909951
shreyadimri,Shreya Dimri,Unknown,,5,,
sayalaruano,Sebastián Ayala Ruano,"Copenhagen, Denmark",DTU Biosustain,5,55.6867243,12.5700724
nehamoopen,Neha Moopen,The Netherlands,Utrecht University ,5,52.2434979,5.6343227
martintoreilly,Martin O'Reilly,London,@alan-turing-institute,5,51.5074456,-0.1277653
aseyq,Ali Seyhun Saral,"Toulouse, France",Institute for Advanced Study in Toulouse,5,43.6044638,1.4442433
mariadelmarq,Maria del Mar Quiroga,"Melbourne, Australia",The University of Melbourne,5,-37.8142454,144.9631732
CDonesCU,,Unknown,,5,,
AoifeHughes,Aoife,London,,5,51.5074456,-0.1277653
hanneoberman,Hanne Oberman,"Utrecht, The Netherlands",@amices @utrechtuniversity,5,52.0907006,5.1215634
AsmaKacem1,Asma Kacem,Tunisia,,5,33.8439408,9.400138
ArielleBL,,Unknown,,4,,
ufangYang,Yu-Fang Yang,"Berlin, Germany",Free University of Berlin,4,52.5173885,13.3951309
alihumayun,,Unknown,,4,,
fhreidsma,,Unknown,Leiden University,4,,
sgichuki,,Unknown,,4,,
KatrionaGoldmann,Katriona Goldmann,Leeds,The Alan Turing Institute,4,53.7974185,-1.5437941
zimolzak,Andrew Zimolzak,Unknown,,4,,
caroldutra3,Ana Carolina Dutra,Newcastle upon Tyne,Newcastle University,4,54.9738474,-1.6131572
tallamjr,Tarek,Unknown,@alan-turing-institute,4,,
beckigreen,"Becki Green, PhD",Unknown,,4,,
Biostew,Sarah Stewart,Unknown,,4,,
dstansby,David Stansby,"London, UK",UCL,4,51.5074456,-0.1277653
DorienHuijser,Dorien Huijser,The Netherlands,@4TUResearchData,4,52.2434979,5.6343227
afuetterer,Heinz-Alexander Fuetterer,"Berlin, Germany",@WZBSocialScienceCenter,4,52.5173885,13.3951309
Kj263,Kjirsten Fastabend,Unknown,,4,,
wna-se,Wolmar Nyberg Åkerström,"Uppsala, Sweden","Uppsala University, @NBISweden ",4,59.8586126,17.6387436
lauracion,Laura Acion,Buenos Aires,CONICET-UBA,4,-34.6095579,-58.3887904
wiebket,Wiebke Hutiri,Netherlands | South Africa,,4,-25.7370076,28.3480394
Lion-admin,,Unknown,,4,,
SamGuay,Samuel Guay,Montreal-ish,,4,,
yochannah,Yo Yehudi,Cambridge,@open-life-science,3,52.1975846,0.1391537
ashatitus,Ash T,London (UK) and Canberra (Australia),London School of Economics and Political Science,3,,
iramosp,,Unknown,,3,,
oforrest,,Unknown,,3,,
pascalflohr,,Unknown,,3,,
rabbits99,,Unknown,,3,,
sreenithyaa,,Unknown,,3,,
vrajesh-daga,,Unknown,,3,,
anjackson,Andy Jackson,UK,The Digital Preservation Coalition,3,54.7023545,-3.2765753
DSrinivasKarthik,D Srinivas Karthik,"Bengaluru, India",HPE Aruba Networking,3,12.9767936,77.590082
